$Идентификатор$Корневой идентификатор$Наименование$Категория$"Повторное
срок, часов"$"Повторное
42$37697$1903$Заблокирована входная дверь подъезда, оборудованная домофоном, кодовым замком (на вход/выход)$Домофоны (запирающие устройства)$0$-
43$37698$2395$Заказать, восстановить магнитный ключ для домофона$Домофоны (запирающие устройства)$72$адрес+кв.
44$37699$2397$Замена, установка трубки домофона в квартире$Домофоны (запирающие устройства)$0$-
45$39796$1759$Неисправен доводчик, магнит входной двери с домофоном$Домофоны (запирающие устройства)$72$адрес+подъезд
46$39797$1760$Неисправен домофон, кодовый замок входной двери подъезда$Домофоны (запирающие устройства)$72$адрес+подъезд
47$37706$2394$Неисправна трубка домофона в квартире$Домофоны (запирающие устройства)$168$адрес+кв.
48$37707$2396$Сообщить, заменить код домофона$Домофоны (запирающие устройства)$0$-
49$39306$2067$Брошенный разукомплектованный автотранспорт$Другое$168$Адрес
50$39473$7907$Ввод в эксплуатацию ИПУ воды (замена, демонтаж, пропуск межповерочного интервала)$Другое$0$-
51$40399$40111$Возобновление коммунальных услуг после оплаты задолженности$Другое$0$-
52$40408$2098$Вызов техника-смотрителя, составление акта$Другое$72$адрес+кв.
53$16667$2183$Грибок, плесень в квартире$Другое$720$адрес+кв.
54$39304$2249$Достать упавшие вещи, предметы из помещения мусорокамеры$Другое$0$-
55$39833$1708$Другое$Другое$0$-
56$40407$40117$Нарушение тишины сотрудниками ЖКХ$Другое$0$-
57$39438$39271$Некачественно произведенный капитальный ремонт (подъезд, квартира)$Другое$168$Адрес
58$39303$1695$Опломбировать водосчетчик$Другое$72$адрес+кв.
59$18678$2303$Оповещение от 112$Другое$0$-
60$39302$1850$Открыт люк, водоприемная решетка$Другое$72$Адрес
61$39472$7906$Подача документов о поверке ИПУ воды в электронном виде$Другое$0$-
62$39301$2325$Проникновение посторонних лиц на крышу, чердак, в подвал$Другое$0$-
63$39300$2184$Разрушение, трещины в стене, полу, потолке (квартира)$Другое$168$адрес+кв.
64$39299$3963$Снять контрольные показания водосчетчика (акт)$Другое$168$адрес+кв.
65$40611$40598$Содержание, обслуживание подземного паркинга$Другое$24$Адрес
66$40409$39889$Составление акта о повреждении имущества при проведении ремонтных, уборочных работ$Другое$0$-
67$40085$39276$Течь в кабине, шахте лифта$Другое$24$адрес+подъезд
68$39807$1922$Требуется обеспечение водой (отсутствует холодная вода более 4 часов)$Другое$0$-
69$40441$3964$Требуются ремонтные, отделочные работы в квартире$Другое$0$-
70$40400$40160$Угроза повреждения имущества при проведении работ сотрудниками ЖКХ$Другое$0$-
71$39296$2233$Хранение химических веществ, реагентов, строительных материалов в подъезде, во дворе$Другое$48$адрес+подъезд
72$39256$2090$Шум, гул в подвале, на техническом этаже$Другое$48$Адрес
73$40086$39284$Шум, гул в шахте лифта$Другое$48$Адрес
74$39810$1963$Зимние виды работ Другое$Зимние виды работ$0$-
75$40739$5947$Избыточное, неравномерное применение противогололедных реагентов$Зимние виды работ$0$-
76$40740$2244$Не залит, некачественно залит каток, хоккейная площадка$Зимние виды работ$0$-
77$40741$39881$Складирование загрязненного снега на газоны, кустарники, под деревья$Зимние виды работ$0$-
78$40742$3395$Снег, гололед в парковочных карманах (дворовая территория)$Зимние виды работ$0$-
79$40743$3397$Снег, гололед в парковочных карманах (дороги)$Зимние виды работ$0$-
80$40744$2252$Снег, гололед на детской площадке$Зимние виды работ$0$-
81$40745$3392$Снег, гололед на пешеходных дорожках$Зимние виды работ$0$-
82$40746$2268$Снег, гололед на площадке для выгула собак$Зимние виды работ$0$-
83$40747$3396$Снег, гололед на площадке для отдыха$Зимние виды работ$0$-
84$40748$3394$Снег, гололед на проезжей части (дворовая территория)$Зимние виды работ$0$-
85$40749$3393$Снег, гололед на проезжей части (дороги)$Зимние виды работ$0$-
86$40750$2304$Снег, гололед на спортивной площадке$Зимние виды работ$0$-
87$40751$3391$Снег, гололед на тротуарах$Зимние виды работ$0$-
88$40752$2203$Снег, гололед при входе в подъезд$Зимние виды работ$0$-
89$40753$39885$Снег, лед на отмостке вокруг дома$Зимние виды работ$0$-
90$40754$2264$Снег на катке, хоккейной площадке$Зимние виды работ$0$-
91$40755$2272$Сосульки, снег на козырьке подъезда$Зимние виды работ$0$-
92$40756$2200$Сосульки, снег на крыше, элементах фасада, водостоке$Зимние виды работ$0$-
93$40757$39898$Сосульки, снег на проводах, уличных фонарях$Зимние виды работ$0$-
94$40505$39903$Установить ограждение при проведении работ по очистке крыши, фасада от снега, сосулек$Зимние виды работ$0$-
95$40401$40114$Достать упавшие предметы из системы слива раковины, ванны, унитаза$Канализация$0$-
96$40433$38008$Замена, установка, перенос, ремонт канализационных труб$Канализация$0$-
97$40834$1925$Запах канализации в квартире$Канализация$48$адрес+кв.
98$40434$1924$Запах канализации в подъезде (засор, течь лежака/стояка)$Канализация$24$адрес+подъезд
99$40349$38009$Засор раковины, ванны (вода стоит, медленно уходит)$Канализация$72$адрес+кв.
100$37947$2222$Засор унитаза (вода стоит, медленно уходит)$Канализация$72$адрес+кв.
101$40506$2256$Канализация Другое$Канализация$0$-
102$40422$2093$Прорыв системы канализации (дворовая территория)$Канализация$24$адрес
103$37950$2189$Сильная течь, прорыв канализационных труб, соединительных элементов (квартира)$Канализация$0$-
104$37949$1937$Сильная течь стояка канализации в техническом шкафу$Канализация$72$адрес+кв.
105$37951$2162$Слабая течь канализационных труб, соединительных элементов (квартира)$Канализация$0$-
106$37952$1939$Слабая течь стояка канализации в техническом шкафу$Канализация$72$адрес+кв.
107$40350$38010$Сложный засор раковины, ванны (перелив через край)$Канализация$72$адрес+кв.
108$39459$2209$Сложный засор унитаза (перелив через край чаши)$Канализация$72$адрес+кв.
109$40430$2196$Течь сифона$Канализация$72$адрес+кв.
110$40507$1964$Кровля Другое$Кровля$0$-
111$39049$2053$Повреждение, засор наружного водостока$Кровля$72$адрес
112$39048$1873$Повреждение, протечка козырька подъезда$Кровля$168$адрес+подъезд
113$40420$2287$Повреждение элементов кровли, крыши$Кровля$72$адрес
114$39023$2283$Сильная течь по потолку, стенам в квартире на последнем этаже (протечка крыши)$Кровля$168$адрес+кв.
115$39022$2324$Сильная течь по потолку, стенам в подъезде на последнем этаже (протечка крыши)$Кровля$168$адрес+подъезд
116$40427$2248$Слабая течь по потолку, стенам в квартире на последнем этаже (протечка крыши)$Кровля$168$адрес+кв.
117$39020$2323$Слабая течь по потолку, стенам в подъезде на последнем этаже (протечка крыши)$Кровля$168$адрес+подъезд
118$39019$2241$Течь на балкон с крыши (на последнем этаже)$Кровля$168$адрес+подъезд
119$39791$1780$Вандальные действия, повреждения, износ облицовки, кнопок, зеркал в кабине лифта$Лифты$72$адрес+подъезд
120$37933$1777$Все лифты или единственный лифт не работает (стоит, самопроизвольно движется, хлопает дверями)$Лифты$72$адрес+подъезд
121$39792$38005$Грязь, мусор в шахте лифта$Лифты$72$адрес+подъезд
122$39794$13160$Двери лифта работают некорректно (скрип, скрежет, рывки, неисправность датчика закрытия)$Лифты$72$адрес+подъезд
123$37935$2151$Достать упавшие вещи, предметы из шахты лифта$Лифты$0$-
124$38149$1770$Запах гари в кабине лифта$Лифты$72$адрес+подъезд
125$37936$1771$Застревание пассажира в лифте (в данный момент)$Лифты$0$-
126$39795$13159$Лифт работает некорректно (кнопки приказа/вызова, датчики веса и уровня кабины)$Лифты$72$адрес+кв.
127$39782$1965$Лифты Другое$Лифты$0$-
128$40436$13161$Неисправность индикации, звукового оповещения лифта$Лифты$72$адрес+подъезд
129$37938$1979$Неисправность осветительных приборов, отсутствие освещения в кабине лифта$Лифты$72$адрес+подъезд
130$40435$2016$Не работает устройство связи с диспетчером в лифте, подъезде$Лифты$72$адрес+подъезд
131$37939$1776$Один из лифтов не работает (стоит, самопроизвольно движется, хлопает дверями)$Лифты$72$адрес+подъезд
132$38116$38006$Открыта шахта лифта/проник человек, животное$Лифты$0$-
133$39461$38007$Открыть створку грузового лифта$Лифты$0$-
134$37940$1808$Помехи при движении кабины лифта (шум, скрежет, вибрации)$Лифты$72$адрес+подъезд
135$40803$40595$Включение/отключение центрального отопления$Отопление$0$-
136$38670$2494$Вызов специалиста для оказания консультации по отоплению (вопросы замены, переноса, приобретения оборудования)$Отопление$72$адрес+кв.
137$40813$1649$Замена, установка, демонтаж, перенос приборов и труб системы отопления$Отопление$0$-
138$38898$38562$Замена, установка, демонтаж счетчика отопления$Отопление$0$-
139$40815$38567$Замена, установка, перенос труб системы отопления$Отопление$0$-
140$38672$1614$Замена, установка, ремонт кранов, терморегуляторов системы отопления$Отопление$0$-
141$40736$2391$Непрогрев, отсутствие отопления в подъезде$Отопление$48$адрес+подъезд
142$40737$1718$Непрогрев приборов отопления в комнате, квартире$Отопление$48$адрес+кв.
143$38900$38581$Опломбировать счетчик отопления$Отопление$72$адрес+кв.
144$38675$1623$Отключить/включить стояк отопления (для/после проведения ремонтных работ)$Отопление$0$-
145$40031$2223$Отопление Другое$Отопление$0$-
146$40738$2297$Отсутствие отопления в комнате, квартире$Отопление$48$адрес+кв.
147$38677$2388$Прорыв, сильная течь элементов системы отопления (квартира)$Отопление$72$адрес+кв.
148$38678$2390$Прорыв, сильная течь элементов системы отопления (подъезд)$Отопление$72$адрес+кв.
149$38903$38589$Регулировка температуры отопительных приборов при помощи кранов, терморегуляторов, установленных в квартире$Отопление$72$адрес+кв.
150$38904$38583$Ремонт, прочистка приборов, труб отопления (ржавчина, накипь, деформация)$Отопление$72$адрес+кв.
151$38679$2387$Слабая течь элементов системы отопления (квартира)$Отопление$72$адрес+кв.
152$38680$2389$Слабая течь элементов системы отопления (подъезд)$Отопление$24$адрес+подъезд
153$38901$38585$Снять контрольные показания счетчика отопления (акт)$Отопление$72$адрес+кв.
154$38899$38578$Техническое обслуживание счетчика отопления$Отопление$72$адрес+кв.
155$16845$1801$Шум, гул, вибрация в системе отопления$Отопление$48$адрес+подъезд
156$40758$4076$Экстремально высокая температура элементов системы отопления$Отопление$48$адрес+кв.
157$39294$2392$Закрепить прибор отопления, экран$Плотницкие, слесарные работы$72$адрес+кв.
158$39263$2417$Закрыта, неисправна дверь пожарной, черной лестницы, переходного балкона$Плотницкие, слесарные работы$72$адрес+подъезд
159$39293$1995$Закрыть окно на чердаке, техническом этаже, в подвале$Плотницкие, слесарные работы$0$-
160$39269$1731$Замена, ремонт почтового ящика$Плотницкие, слесарные работы$168$адрес+кв.
161$39464$1604$Замена стекла в двери, окне в квартире (за исключением пластиковых рам)$Плотницкие, слесарные работы$72$адрес+кв.
162$39291$2439$Замена стекла в двери, окне в подъезде$Плотницкие, слесарные работы$72$адрес+подъезд
163$39268$1600$Замена, установка, ремонт замка почтового ящика$Плотницкие, слесарные работы$168$адрес+кв.
164$39267$2423$Неисправен замок, входная дверь (квартира)$Плотницкие, слесарные работы$0$-
165$39266$2422$Неисправен замок, дверь приквартирного, лифтового холла$Плотницкие, слесарные работы$72$адрес+подъезд
166$39265$2425$Неисправен замок, межкомнатная дверь (квартира)$Плотницкие, слесарные работы$0$-
167$39264$2433$Неисправна входная дверь (подъезд)$Плотницкие, слесарные работы$48$адрес+подъезд
168$18769$2107$Неисправность ковша мусоропровода$Плотницкие, слесарные работы$72$адрес+подъезд
169$39262$2428$Неисправность пандуса (крыльцо, подъезд, двор)$Плотницкие, слесарные работы$72$адрес
170$39440$39270$Открыта, неисправна дверь чердака, подвала, электрощитовой, мусорокамеры$Плотницкие, слесарные работы$12$адрес+подъезд
171$39261$2429$Открыть/закрыть окно в подъезде$Плотницкие, слесарные работы$0$-
172$39260$2431$Открыть/закрыть продухи на чердаке, в подвале$Плотницкие, слесарные работы$0$-
173$40508$2103$Плотницкие, слесарные работы Другое$Плотницкие, слесарные работы$0$-
174$39259$2421$Повреждение козырька, перил, ограждений, облицовки балкона (квартира)$Плотницкие, слесарные работы$120$адрес+кв.
175$39257$2420$Повреждение, неисправность окна в подъезде$Плотницкие, слесарные работы$72$адрес+подъезд
176$39258$2438$Повреждение перил, ограждений в подъезде, на крыльце$Плотницкие, слесарные работы$72$адрес+подъезд
177$18775$2115$Повреждение ствола мусоропровода$Плотницкие, слесарные работы$120$адрес+подъезд
178$37941$2336$Неисправность подъемной платформы для инвалидов$Подъемные платформы для инвалидов$72$адрес+подъезд
179$40410$2490$Вызов специалиста для оказания консультации по сантехнике, канализации (вопросы замены, переноса, приобретения оборудования)$Сантехника$72$адрес+кв.
180$38235$2285$Высокая температура горячей воды (ГВС)$Сантехника$48$адрес+кв.
181$38240$1618$Закрепить раковину, ванну, унитаз, полотенцесушитель$Сантехника$0$-
182$40411$1664$Замена, установка гибкой подводки, сифона$Сантехника$0$-
183$40414$18442$Замена, установка, демонтаж ванны, душевой кабины$Сантехника$0$-
184$38268$2207$Замена, установка, демонтаж, перенос полотенцесушителя$Сантехника$120$адрес+кв.
185$38253$1630$Замена, установка, демонтаж раковины$Сантехника$0$-
186$38260$1622$Замена, установка, демонтаж, ремонт смесителя, душа$Сантехника$0$-
187$38270$1701$Замена, установка, демонтаж, ремонт электрического водонагревателя$Сантехника$0$-
188$40439$38216$Замена, установка, демонтаж унитаза, сливного бачка, сиденья унитаза$Сантехника$0$-
189$40679$38217$Замена, установка, демонтаж фильтра очистки питьевой воды$Сантехника$0$-
190$38274$1665$Замена, установка, перенос водопроводных труб$Сантехника$0$-
191$38281$2220$Замена, установка, ремонт кранов на стояках, трубах горячей, холодной воды (ГВС, ХВС)$Сантехника$120$адрес+кв.
192$38289$1910$Затопление, пар в подвале, цокольном этаже, паркинге$Сантехника$24$адрес
193$16657$2159$Непрогрев полотенцесушителя$Сантехника$72$адрес+кв.
194$38294$2298$Низкая температура горячей воды (ГВС)$Сантехника$72$адрес+кв.
195$38300$1634$Отключить/включить стояк водоснабжения (краны отсутствуют или неисправны)$Сантехника$0$-
196$40544$2228$Отсутствует горячая вода (ГВС)$Сантехника$48$адрес+кв.
197$40545$2299$Отсутствует горячая и холодная вода (ГВС и ХВС)$Сантехника$48$адрес+кв.
198$40546$2197$Отсутствует холодная вода (ХВС)$Сантехника$48$адрес+кв.
199$38322$2081$Пар из колодца, люка (дворовая территория)$Сантехника$24$адрес
200$38329$1908$Перекрыть/открыть воду на квартиру при помощи кранов на стояке водоснабжения$Сантехника$72$адрес+кв.
201$38331$1620$Подключение/отключение к водоснабжению и водоотведению посудомоечной, стиральной машины$Сантехника$0$-
202$38334$2198$Подмес в системе водоснабжения (вместо холодной течет горячая/теплая вода)$Сантехника$72$адрес+кв.
203$38342$2255$Прорыв, течь трубы водо-/теплоснабжения (дворовая территория)$Сантехника$24$адрес
204$40403$40141$Ремонт водопроводных труб, полотенцесушителя (ржавчина, накипь, конденсат, деформация)$Сантехника$120$адрес+кв.
205$38346$1610$Ремонт, регулировка системы слива бачка унитаза$Сантехника$0$-
206$18781$1934$Ржавая вода$Сантехника$72$адрес+кв.
207$40509$2289$Сантехника Другое$Сантехника$0$-
208$40424$2231$Сильная течь гибкой подводки (подача воды)$Сантехника$72$адрес+кв.
209$38529$38218$Сильная течь, пар в мусоропроводе, помещении мусорокамеры$Сантехника$24$адрес+подъезд
210$38354$2164$Сильная течь полотенцесушителя$Сантехника$72$адрес+кв.
211$38356$2238$Сильная течь по потолку, стенам, лестнице с верхнего этажа (подъезд)$Сантехника$24$адрес+подъезд
212$38357$4094$Сильная течь по потолку, стенам с верхнего этажа (квартира)$Сантехника$72$адрес+кв.
213$38347$2157$Сильная течь, прорыв водопроводных труб (квартира)$Сантехника$72$адрес+кв.
214$38352$2229$Сильная течь стояка водоснабжения в техническом шкафу$Сантехника$72$адрес+кв.
215$38350$2274$Сильная течь унитаза в местах соединений чаши с полом, бачком, раструбом$Сантехника$120$адрес+кв.
216$40404$40147$Сильный напор (избыточное давление) в системе водоснабжения$Сантехника$72$адрес+кв.
217$38345$2158$Слабая течь водопроводных труб (квартира)$Сантехника$72$адрес+кв.
218$40425$2282$Слабая течь гибкой подводки (подача воды)$Сантехника$72$адрес+кв.
219$38530$38221$Слабая течь, пар в мусоропроводе, помещении мусорокамеры$Сантехника$24$адрес+подъезд
220$38319$2165$Слабая течь полотенцесушителя$Сантехника$72$адрес+кв.
221$39801$2208$Слабая течь по потолку, стенам, лестнице с верхнего этажа (подъезд)$Сантехника$24$адрес+подъезд
222$38332$4093$Слабая течь по потолку, стенам с верхнего этажа (квартира)$Сантехника$72$адрес+кв.
223$38309$2213$Слабая течь стояка водоснабжения в техническом шкафу$Сантехника$72$адрес+кв.
224$38303$2253$Слабая течь унитаза в местах соединений чаши с полом, бачком, раструбом$Сантехника$120$адрес+кв.
225$38296$4075$Слабый напор в системе водоснабжения$Сантехника$72$адрес+кв.
226$39827$38214$Течь в пожарном шкафу$Сантехника$24$адрес+подъезд
227$38285$1923$Течь из-под двери квартиры, нежилого помещения$Сантехника$72$адрес+кв.
228$38532$38215$Течь по стене в квартиру, подъезд из внутреннего водостока (разгерметизация, засор)$Сантехника$72$адрес+кв.
229$40519$40157$Течь по фасаду дома (осадки отсутствуют)$Сантехника$24$адрес
230$38265$2262$Течь смесителя, душа$Сантехника$120$адрес+кв.
231$40431$2094$Течь трубы, поливочного крана (дворовая территория)$Сантехника$24$адрес
232$38254$2221$Установка кранов на стояках водоснабжения (первичная)$Сантехника$120$адрес+кв.
233$40437$2263$Шум, гул в системе водоснабжения, канализации$Сантехника$48$адрес+кв.
234$40440$2210$Неисправность противопожарной системы (ДУ и ППА) в подъезде$Системы ДУ и ППА$48$адрес+подъезд
235$40405$40144$Ремонт, обслуживание противопожарной системы (ДУ и ППА) в квартире$Системы ДУ и ППА$72$адрес+кв.
236$40510$1967$Система ДУ и ППА Другое$Системы ДУ и ППА$0$-
237$37943$2261$Сработала противопожарная система (ДУ и ППА), необходимо отключить сигнал$Системы ДУ и ППА$0$-
238$16770$2064$Грибок, плесень в подъезде$Содержание общедомовых помещений$720$адрес+подъезд
239$37723$2334$Животные на крыше, чердаке, в подвале дома$Содержание общедомовых помещений$48$адрес
240$39465$37735$Замена, установка, ремонт противоскользящего покрытия (коврики)$Содержание общедомовых помещений$0$-
241$37725$2089$Запах химических веществ в подъезде (краска, ацетон, хлорка)$Содержание общедомовых помещений$72$адрес+подъезд
242$37728$1997$Неисправность, недокомплект пожарного крана, шкафа$Содержание общедомовых помещений$120$адрес+подъезд
243$37730$2082$Некачественно произведенный косметический, мелкий ремонт, повреждения в процессе работ (подъезд)$Содержание общедомовых помещений$120$адрес+подъезд
244$37731$2066$Необходимы ремонтные работы в подъезде (косметический, мелкий ремонт)$Содержание общедомовых помещений$120$адрес+подъезд
245$39798$1906$Несанкционированные объявления, надписи, рисунки (подъезд)$Содержание общедомовых помещений$72$адрес+подъезд
246$39799$1876$Повреждение ступеней, площадки крыльца подъезда$Содержание общедомовых помещений$120$адрес+подъезд
247$39800$2065$Разрушение, трещины в стене, полу, потолке, ступенях лестницы (подъезд)$Содержание общедомовых помещений$168$адрес+подъезд
248$40761$40698$Ремонт информационных табличек, стендов в подъезде$Содержание общедомовых помещений$48$адрес+подъезд
249$39731$2095$Содержание общедомовых помещений Другое$Содержание общедомовых помещений$0$-
250$40763$37740$Установка информационных табличек, стендов в подъезде$Содержание общедомовых помещений$72$адрес+подъезд
251$39517$37787$Бесхозные вещи, предметы в подъезде$Уборка$0$-
252$39518$2393$Грязь, мусор в подъезде, на крыльце$Уборка$6$адрес+подъезд
253$39793$1878$Грязь, мусор на крыше, козырьке подъезда, карнизе$Уборка$48$адрес+подъезд
254$39520$2332$Грязь, мусор, несанкционированные объявления, надписи в кабине лифта$Уборка$48$адрес+подъезд
255$39521$2275$Запах из мусоропровода, мусорокамеры$Уборка$48$адрес+подъезд
256$39522$37779$Запах канализации в подъезде после ликвидации засора в подвале$Уборка$48$адрес+подъезд
257$39523$2234$Засор мусоропровода$Уборка$48$адрес+подъезд
258$39524$2058$Промывка, очистка ковша мусоропровода$Уборка$48$адрес+подъезд
259$39733$2290$Уборка Другое$Уборка$0$-
260$18785$2017$Неисправность элементов уличного освещения (дворовая территория)$Уличное освещение$24$адрес
261$39780$1968$Уличное освещение Другое$Уличное освещение$0$-
262$39255$2019$Управление режимом включения/отключения уличного освещения$Уличное освещение$0$-
263$39254$1818$Установка элементов уличного освещения (дворовая территория)$Уличное освещение$72$адрес
264$39808$2096$Управление освещением подъезда$Управление освещением подъезда$0$-
265$39018$1884$Герметизация межпанельных швов$Фасадные работы$168$адрес+подъезд
266$39166$39017$Некачественные ремонтные работы, повреждения в процессе ремонтных работ (фасад)$Фасадные работы$24$адрес
267$39016$2247$Повреждение, трещины облицовки, элементов фасада (нет угрозы жизни)$Фасадные работы$168$адрес
268$39165$39015$Помыть, очистить фасад здания$Фасадные работы$168$адрес
269$39014$1819$Разрушение облицовки, элементов фасада (есть угроза жизни)$Фасадные работы$168$адрес+подъезд
270$39013$2185$Разрушение, трещины в стене, полу, потолке (балкон, лоджия)$Фасадные работы$168$адрес+подъезд
271$39012$2257$Течь на балкон с верхнего этажа$Фасадные работы$24$адрес+подъезд
272$39768$1969$Фасадные работы Другое$Фасадные работы$0$-
273$16666$2177$Бьет током вода, бытовая техника$Электрика$72$адрес+кв.
274$38682$2170$Выбивает автомат (пробки) при включении электроприборов, освещения$Электрика$72$адрес+кв.
275$38683$2491$Вызов специалиста для оказания консультации по электрике (вопросы диагностики, замены, переноса, приобретения оборудования)$Электрика$72$адрес+кв.
276$38684$2211$Замена, монтаж, ремонт проводки в электрощитке$Электрика$72$адрес+кв.
277$38896$38554$Замена, монтаж, ремонт электропроводки (квартира)$Электрика$72$адрес+кв.
278$38687$2149$Искрит, дымится, плавится проводка в электрощитке$Электрика$48$адрес+подъезд
279$39576$38573$Искрит розетка, выключатель, электропроводка (квартира)$Электрика$72$адрес+кв.
280$38685$2251$Искрят, дымятся, плавятся провода (дворовая территория, крыша, фасад)$Электрика$48$адрес
281$38686$2206$Искрят, дымятся, плавятся провода (крыльцо, подъезд)$Электрика$48$адрес+подъезд
282$38688$2519$Не горит, мигает световой адресный указатель (домовой знак)$Электрика$120$адрес
283$39468$1824$Неисправность осветительного прибора, замена лампы (входная группа)$Электрика$24$адрес+подъезд
284$38693$1679$Неисправность осветительного прибора, замена лампы, патрона (квартира)$Электрика$0$-
285$38691$4328$Неисправность осветительного прибора, замена лампы (подъезд)$Электрика$24$адрес+подъезд
286$38692$4330$Неисправность осветительного прибора, замена лампы (технические помещения)$Электрика$24$адрес+подъезд
287$40406$40135$Неисправность розетки, выключателя в подъезде$Электрика$48$адрес+подъезд
288$38695$2237$Оборванные, поврежденные, провисшие провода (дворовая территория, крыша, фасад)$Электрика$48$адрес
289$38694$2273$Оборванные, поврежденные провода (крыльцо, подъезд)$Электрика$48$адрес+подъезд
290$38696$4336$Открыть, закрыть, отремонтировать дверцу электрощитка$Электрика$9$адрес+подъезд
291$38697$1822$Отсутствует электричество во всей квартире$Электрика$24$адрес+кв.
292$40547$2279$Отсутствует электричество во всем подъезде, доме$Электрика$6$адрес
293$38699$1985$Перепады, скачки напряжения в электросети$Электрика$48$адрес+подъезд
294$38701$1698$Подключение к электросети посудомоечной, стиральной машины и другой бытовой техники$Электрика$0$-
295$38702$1974$Проверка электросчетчика на стороннее подключение, целостность пломбы$Электрика$72$адрес+кв.
296$38703$1694$Установка, демонтаж осветительных приборов в квартире$Электрика$0$-
297$38706$1683$Установка, замена автомата, УЗО в электрощитке$Электрика$72$адрес+кв.
298$38707$2246$Установка, замена, ремонт дверного звонка$Электрика$72$адрес+кв.
299$38895$38577$Установка, замена, ремонт розетки/выключателя в квартире$Электрика$72$адрес+кв.
300$38708$2150$Частично отсутствует освещение, ток в электросети в квартире$Электрика$24$адрес+кв.
301$40678$1831$Шум, гул в помещении электрощитовой, трансформаторной подстанции$Электрика$48$адрес
302$39840$2191$Электрика Другое$Электрика$0$-
303$38710$2175$Неисправность электроплиты$Электроплиты$72$адрес+кв.
